2OHD
11DC
OHP2
B17P
25VD
3OHB
7DHC
MRET
ABX
AC34
AC38
ACE1
ACHR
ACH
ACH1
ACPR
A10
ADL1DV
ADDA
ADPC
ADR
PAD
PALA
ALB2
RALB
ALD3
RAR4
SAV
API2
ALP3
1
F20
A2AP
AFPT
AGA1
AGL1
ASUB
A1A
PAAB
ALT
AP50
ZAL
PAL
AMKB
AMKA
AMKC
AMI
AMN
AREF
C6
AMPH
C5
AMY3
AMYA
ANCA
AD2
AD
EP1
ANCS
DT
ANTH
ABG1
ACLA
ACHO
ACT2
ADNA
ZHBA
RI
SPER
AT3
AC1Q
AGAD
AGA
AMOG
ZSB
BSB
PSB
AMH
ASO
APIX
APO
APLA
APB2
APEG
APE2
APOE
F49
APTR
NPCA
HEPA
APTT
AQP4
F423
F352
ARGP
ZAS
BARS
PASN
1ASP
M3
RASP
APCR
ASPP
SENT
AST
AVPP
F96
AZAM
LYME
BWBC
LYMS
B27D
F45
F92
ZBA
PBA
F6M
BGA
P190
P210
I1
K203
F27
ZBE
BGLU
B2MI
BET2
BIC
BILA
PEDB
BIOP
T3
ZBI
BBI
F356
BCS
GAS
ACBS
BS17
BSCO
BMT
BM1
BM2
BON3
BPPT
PBO
BTRT
BRAF
F18
2B
BREF
SKIN
CPE3
GAWK
C1F
CEST
C1Q
C3NF
C3C8
12CA
CA15
19CA
F93
ZCD
BCD
CAE2
EX72
CLN1
CA
CA2
CAMP
CAR2
F202
E1
R214
CCP1
AB20
ACD3
PURL
3DR
325
369
PURM
ID
AC38
CEA2
F85
CMC
CENT
CH50
CGP
F81
F309
F83
F279
CHMR
CREF
C8
CL
TOVD
CHOL
CHO1
BCC
ZCR
BCR
PCHR
CHRA
CHRB
CHYL
CKT
PCIT
CLA1
NC12
CPAM
CPI2
CP1N
CMVG
CMGA
CMVM
CMCO
INHB
CS
ZCO
BCO
PCO
F36
F3
CBA
CCC2
C3C4
C3D
C4
CRD
CTD
PCU
F425
F8M
CORT
CORS
COT
CPE2
CPE1
F23
CRPM
CK2
CR2
CRYO
CRYP
CTX2
CTP1
F244
CV2
CYC2
CYST
CYRT
DABI
DD2
RIPL
DEA
DHIV
DES2
DHPR
DIG
DB2
DISO
E5
DND1
ECOL
EBCP
EBPC
EBV
ECP0
ECP3
F1
F75
ELF
ENDO
EPT1
EPT2
ESR
ETH
PEAE
ESUX
ETG1
K78
EVE
ENAP
ENAS
FACH
F2
F9
F5
FVL
F7
F8
F8BA
F10
F11
F12
F13
F13S
FLPP
FAST
FELB
FER2
FDON
FERT
FERS
FIBA
FIBC
FIBD
FREF
F
FLE1
FLT3
FOLW
FP1
FP2
FP3
FP5
K80
FT2F
FFA
FLC
FT2
FSH2
2FT3
2FT4
FBC
HIB
GPDS
GPT1
GPUT
G1P
AGAL
GQ1B
GANG
GPC
GST
GBM
C74
GNTB
GNTA
GNTC
GGT3
GHCS
GLUC
GGLU
GLU
PGLU
PGLN
F79
GLYP
GRA
GM1
GMCC
GMCL
GMCD
GMCP
GMCR
GMCS
ZAU
PAU
GP1
AGS
GH2
GHG2
GHS2
GTT
GTTM
E6
GUT2
HFC
HINF
HANT
HPT
F17
HBEP
A1C3
A1CV
HCG5
ANXA
HBVL
HAM
HAG
CAB
HBCM
HBE
BGEN
PREC
BRES
HBCL
HEPB
GENO
HECG
CRES
HDPC
HBRE
HEG
HERE
HICM
ZCHE
ZAHE
FTSH
HAK
HEVA
HALL
HGK
HEVG
HGL
HHV8
67P
PHIS
HIST
HIRE
AHIV
HIV2
HHIV
ZHIV
PRO
VLOA
B27
B57
DQ28
HCTE
I75
E3
I204
D1
HSVG
HTLV
HTLE
HA2
HYDA
PHYP
IEFT
ALC
AKLR
IGE
IGF3
SUBS
GKLR
IGG4
IGM
IL28
IDEF
RIGD
RIGG
IGS
IMMU
IM
INB3
IP
INR
WARF
INS
INSU
INS1
IST
INNA
IABB
INTF
PI
IMA
ICA
PILE
GIST
IVFS
JAK2
JCA
JO1
F84
KL
GID1
GID2
GID3
GID4
GID5
GID6
GID7
GID8
GID9
LACT
LD3
LMTG
K82
ZPB
BPB
LEGF
LEIS
F208
F235
LEP
LREF
LEUP
LEU
A34
CMC
LVZ
LEV1
LH2
LHR1
LSC
F333
LIP1
F420
LI
LFT3
LAIP
F80
F335
LA2
LYMP
PHAC
TS56
PSK
PLYS
LALD
MA1
MA2
MG
MAL
BMN
F91
MBL
LM1
MM1
Mar-01
LM2
MM2
Mar-02
MM3
Mar-03
LM3
LM4
MM4
Mar-04
Mar-04
LM5
MM5
Mar-05
LM6
MM6
Mar-06
MREF
MEAG
MEGX
CVID
MENP
ZHG
BHG
META
PMET
TREX
MET1
MI2
F2M
MILC
ANS
M2
MITN
BMO
PMO
ZMO
C260
I71
MP1
MPOS
MUMP
MUVG
MUSK
F212
F8GM
F88
MPHE
MYCO
MYCM
MY88
AMAG
MPN1
ENZ1
ENZ2
AHG1
AHG2
RTP1
RTP2
ZNSD
ZNSR
NEO4
NSE
NT
LDS
LEUC
NGS1
PNI
1656
NMDA
NC
NCLO
NPM1
NTPR
NRBC
NUCL
F7M
RVZ
E2B3
OLAN
F416
BTP
F33
ORG
ORNP
OSMO
OSM
OVAB
OVAR
F233
F290
P1N2
P3N
PAIA
PP
F218
PCT2
PNA
PTHY
ANHH
GNUM
PARG
PARM
PREF
PAR
PCR1
F12M
F13M
F201
3PRL
P10
P20
PFA1
PTOP
PBA2
BCPH
PPHE
BPH
PTN2
C261
F253
F210
F203
PITY
M70
F254
DYP2
PAA1
PBGL
BIOT
PAC1
PCAT
CHIT
PVG
PVIS
PAGG
NUC1
BPT
PMSC
PNH
PNH1
OFBC
PCS
PFBC
I4
F224
F26
K
F35
EX71
PLX
PR3S
F24
PRTE
PREV
PRG2
2PRL
PPRO
PCAC
PSF1
PTM
PSA
PSEU
PT
PTH2
MUTO
BPUR
QREF
QFTB
QHBV
E82
RATE
F316
ZRSH
ZVZG
F343
T215
T221
F439
F428
F440
ETP
RE2
EN02
RTR
RFT
RICK
RICF
RTX
RTX
RIVA
RUBS
RUBM
SAL2
HSAL
F41
TONY
SAND
SAR
SS
SREF
SCL7
PSE
O70
PSER
SSTO
F10M
SHBG
SHIG
ST
PSI1
BAG
SIRO
SKEL
NA
IL2R
STR1
1IGF
SOMA
STHR
F14
RAST
SPTL
SPTM
SPT
M81
STRE
STEC
STAB
F44
STRF
PSR
SULU
SUX
SYNA
SYPE
FTAM
SYRE
TCAT
ID1
TAC7
TAC5
PTAU
STBS
STBC
TC6
TCAB
TCA
TM
TCGD
TCRA
TCRD
ZRTE
ZXRT
PTE
TES3
DHT
BTL
